Lat,Lon,hour,is_wekend,dbscan_cluster,dbscan2_cluster
40.7855,-73.9554,8,0,0,0
40.7033,-73.9914,12,1,0,0
40.7328,-73.9975,23,0,0,0
40.7254,-73.9981,11,0,0,0
40.7111,-74.0094,17,0,0,0
40.7071,-74.0056,19,0,0,0
40.72,-74.0086,21,0,0,0
40.7743,-73.8714,22,0,0,0
40.7442,-74.0067,2,0,0,0
40.7583,-73.9871,22,1,0,0
40.7453,-73.9868,15,0,0,0
40.7618,-74.0007,23,0,0,0
40.731,-73.9914,15,0,0,0
40.7424,-74.0294,6,0,0,0
40.7244,-73.9982,17,0,0,0
40.7209,-73.9982,21,0,0,0
40.7489,-73.9801,13,1,0,0
40.7267,-73.9993,15,1,0,0
40.6915,-74.1835,11,0,1,1
40.7222,-74.0006,18,1,0,0
40.7336,-73.9582,21,0,0,0
40.7676,-73.9929,18,0,0,0
40.6784,-73.9898,23,0,0,0
40.7555,-73.9837,22,0,0,0
40.7609,-73.9751,17,0,0,0
40.7847,-73.9809,16,0,0,0
40.7913,-73.9697,14,0,0,0
40.758,-73.9749,17,1,0,0
40.6833,-73.9796,9,0,0,0
40.7656,-73.9759,18,0,0,0
40.7395,-74.0061,11,0,0,0
40.7341,-73.9885,13,1,0,0
40.6735,-73.9893,21,1,0,0
40.7612,-73.9993,7,0,0,0
40.7447,-74.003,14,1,0,0
40.739,-73.9873,10,0,0,0
40.7589,-73.9676,14,1,0,0
40.7224,-73.9862,23,1,0,0
40.7595,-73.968,16,0,0,0
40.778,-73.9801,23,0,0,0
40.7464,-73.9441,14,0,0,0
40.7563,-73.9855,14,0,0,0
40.7213,-74.0023,10,0,0,0
40.7715,-73.9831,21,0,0,0
40.7611,-73.9733,20,0,0,0
40.7411,-73.9941,20,1,0,0
40.7606,-73.9871,23,0,0,0
40.7143,-74.0149,1,1,0,0
40.6456,-73.7768,4,0,0,0
40.7191,-73.9831,5,0,0,0
40.7574,-73.9731,19,0,0,0
40.7169,-74.0092,13,0,0,0
40.7151,-74.0079,22,0,0,0
40.7509,-73.9911,19,0,0,0
40.8342,-73.9449,14,1,0,0
40.7494,-73.9924,17,0,0,0
40.7208,-73.988,5,0,0,0
40.7773,-73.9522,13,0,0,0
40.7756,-73.983,9,0,0,0
40.7196,-74.0047,22,0,0,0
40.7688,-73.9538,7,0,0,0
40.745,-73.979,5,1,0,0
40.773,-73.9802,21,0,0,0
40.7003,-73.8077,14,1,0,0
40.7517,-73.9883,14,0,0,0
40.7464,-73.9975,14,0,0,0
40.6425,-73.788,12,1,0,0
40.743,-74.0002,13,1,0,0
40.7517,-73.9823,15,0,0,0
40.7578,-73.9756,9,0,0,0
40.7666,-73.6186,20,0,-1,-1
40.7282,-73.9831,6,0,0,0
40.7742,-73.8725,14,0,0,0
40.7564,-73.9769,21,0,0,0
40.7056,-74.0083,5,0,0,0
40.7289,-73.9473,18,1,0,0
40.6999,-73.9919,15,0,0,0
40.7414,-73.9939,20,0,0,0
40.7178,-73.9577,1,0,0,0
40.7218,-74.002,21,1,0,0
40.6861,-73.9263,3,1,0,0
40.7389,-73.9792,5,0,0,0
40.7327,-74.0044,14,0,0,0
40.7664,-73.9917,14,1,0,0
40.772,-73.9828,23,0,0,0
40.7797,-73.9882,7,0,0,0
40.6467,-73.7776,5,0,0,0
40.8089,-73.9633,17,0,0,0
40.7186,-73.9569,19,0,0,0
40.7734,-73.9547,21,1,0,0
40.7512,-73.9866,0,0,0,0
40.7681,-73.9684,11,0,0,0
40.7642,-73.9732,21,0,0,0
40.7577,-73.9608,13,0,0,0
40.7652,-73.9639,17,0,0,0
40.7523,-73.9933,20,1,0,0
40.8424,-73.9431,7,0,0,0
40.7429,-73.9892,23,1,0,0
40.7638,-73.9776,19,0,0,0
40.7837,-73.9836,3,0,0,0
40.7606,-73.9902,18,0,0,0
40.7398,-73.9951,16,0,0,0
40.7401,-74.0008,15,0,0,0
40.7321,-73.9983,22,0,0,0
40.7435,-73.9798,0,1,0,0
40.6953,-73.9976,16,0,0,0
40.7164,-73.9553,5,0,0,0
40.7396,-73.9942,14,0,0,0
40.7141,-73.9554,7,0,0,0
40.7579,-73.9659,16,0,0,0
40.8236,-73.9427,20,1,0,0
40.7705,-73.9605,7,0,0,0
40.7424,-73.9836,13,0,0,0
40.7602,-73.9724,21,0,0,0
40.7635,-73.975,17,0,0,0
40.7426,-73.996,8,0,0,0
40.7483,-74.0055,7,0,0,0
40.7633,-73.9854,23,0,0,0
40.8931,-73.8999,14,0,0,0
40.7337,-74.0022,15,0,0,0
40.7608,-73.9713,17,0,0,0
40.7223,-73.9832,18,0,0,0
40.649,-73.9321,21,0,0,0
40.6912,-73.9901,8,0,0,0
40.7153,-74.0465,21,0,0,0
40.7738,-73.9823,14,0,0,0
40.7614,-73.9792,17,0,0,0
40.7187,-73.988,8,0,0,0
40.7618,-73.9791,21,0,0,0
40.6883,-73.9728,18,1,0,0
40.7683,-73.8623,21,0,0,0
40.7597,-73.9661,18,0,0,0
40.8309,-73.9269,21,0,0,0
40.7628,-73.9772,21,0,0,0
40.6878,-74.182,16,0,1,1
40.7525,-73.9795,16,0,0,0
40.7273,-74.0057,11,0,0,0
40.7581,-73.9727,16,0,0,0
40.7434,-73.9798,22,0,0,0
40.7526,-73.9847,14,0,0,0
40.7016,-73.9232,13,0,0,0
40.7212,-73.9945,20,0,0,0
40.7515,-73.994,19,0,0,0
40.7306,-74.0039,22,1,0,0
40.7545,-73.8454,17,1,0,0
40.7446,-73.9889,20,0,0,0
40.7149,-74.0113,19,0,0,0
40.7752,-73.9565,20,0,0,0
40.7578,-73.9854,23,0,0,0
40.7525,-73.9801,11,0,0,0
40.7453,-73.9908,22,1,0,0
40.7446,-74.0066,0,0,0,0
40.7616,-73.9696,16,0,0,0
40.6765,-73.9284,21,0,0,0
40.6455,-73.7767,20,1,0,0
